year,origin_region,destination_region,volume_mt,transport_cost_usd_per_mt,is_cross_region
2037,APAC,LATAM,1.87883511,70.0,True
2037,APAC,APAC,5.94019945,0.0,False
2037,EU,APAC,2.35833206,65.0,True
2037,EU,MENA,6.96787208,35.0,True
2037,EU,US,2.32836346,45.0,True
2037,MENA,US,6.9628716,50.0,True
2038,LATAM,EU,2.0358384,50.0,True
2038,US,EU,10.09326975,45.0,True
2038,ROW,EU,0.9615887,55.0,True
2038,ROW,ROW,1.00656335,0.0,False
2038,APAC,ROW,0.96058884,40.0,True
2038,APAC,LATAM,2.0348388,70.0,True
2038,APAC,APAC,5.92008381,0.0,False
2038,EU,APAC,2.99442725,65.0,True
2038,EU,US,10.09226988,45.0,True
2038,EU,MENA,0.00499947,35.0,True
2038,MENA,MENA,7.58390337,0.0,False
2039,LATAM,EU,2.1987188,50.0,True
2039,US,EU,10.92326755,45.0,True
2039,ROW,EU,0.80713347,55.0,True
2039,ROW,ROW,1.33074998,0.0,False
2039,APAC,ROW,0.80613354,40.0,True
2039,APAC,LATAM,2.1977191,70.0,True
2039,APAC,APAC,6.55838726,0.0,False
2039,EU,APAC,3.00285303,65.0,True
2039,EU,US,10.92226762,45.0,True
2039,EU,MENA,0.0049998,35.0,True
2039,MENA,MENA,8.23752951,0.0,False
2040,US,EU,11.7833375,45.0,True
2040,LATAM,EU,2.36873325,50.0,True
2040,ROW,EU,0.65536658,55.0,True
2040,ROW,ROW,1.66112737,0.0,False
2040,APAC,ROW,0.65436676,40.0,True
2040,APAC,LATAM,2.36773351,70.0,True
2040,APAC,APAC,7.21896493,0.0,False
2040,EU,APAC,3.02110055,65.0,True
2040,EU,US,11.78233688,45.0,True
2040,EU,MENA,0.00499992,35.0,True
2040,MENA,MENA,8.92522221,0.0,False
2041,US,EU,12.67462795,45.0,True
2041,LATAM,EU,2.54614865,50.0,True
2041,ROW,EU,1.15559784,55.0,True
2041,ROW,ROW,1.34878691,0.0,False
2041,APAC,ROW,1.15459788,40.0,True
2041,APAC,LATAM,2.54514862,70.0,True
2041,APAC,APAC,7.25364165,0.0,False
2041,EU,APAC,3.69874667,65.0,True
2041,EU,US,12.67362845,45.0,True
2041,EU,MENA,0.00499903,35.0,True
2041,MENA,MENA,9.6485148,0.0,False
2042,US,EU,13.5983374,45.0,True
2042,LATAM,EU,2.7312404,50.0,True
2042,ROW,EU,1.01303569,55.0,True
2042,ROW,ROW,1.68893751,0.0,False
2042,APAC,ROW,1.01203568,40.0,True
2042,APAC,LATAM,2.73024033,70.0,True
2042,APAC,APAC,7.95839219,0.0,False
2042,EU,APAC,3.74127602,65.0,True
2042,EU,US,13.59733685,45.0,True
2042,EU,MENA,0.00500048,35.0,True
2042,MENA,MENA,10.40900091,0.0,False
2043,US,EU,14.55570175,45.0,True
2043,LATAM,EU,2.9242941,50.0,True
2043,ROW,EU,1.85673545,55.0,True
2043,ROW,ROW,1.05295905,0.0,False
2043,APAC,ROW,1.85573552,40.0,True
2043,APAC,LATAM,2.92329422,70.0,True
2043,APAC,APAC,7.70539456,0.0,False
2043,EU,APAC,4.77802992,65.0,True
2043,EU,US,14.55470202,45.0,True
2043,EU,MENA,0.00499926,35.0,True
2043,MENA,MENA,11.20834954,0.0,False
2044,US,EU,15.5480113,45.0,True
2044,LATAM,EU,3.12560555,50.0,True
2044,ROW,EU,1.72610261,55.0,True
2044,ROW,ROW,1.40189994,0.0,False
2044,APAC,ROW,1.72510253,40.0,True
2044,APAC,LATAM,3.12460587,70.0,True
2044,APAC,APAC,8.45653075,0.0,False
2044,EU,APAC,4.84870809,65.0,True
2044,EU,US,15.54701094,45.0,True
2044,EU,MENA,0.00500007,35.0,True
2044,MENA,MENA,12.0482897,0.0,False
2045,US,EU,16.11613175,45.0,True
2045,LATAM,EU,3.2072319,50.0,True
2045,ROW,EU,1.55172176,55.0,True
2045,ROW,ROW,1.67655614,0.0,False
2045,APAC,ROW,1.55072217,40.0,True
2045,APAC,LATAM,3.20623195,70.0,True
2045,APAC,APAC,8.93148583,0.0,False
2045,EU,APAC,4.75595454,65.0,True
2045,EU,US,16.11513137,45.0,True
2045,EU,MENA,0.00499909,35.0,True
2045,MENA,MENA,12.43310726,0.0,False
