year,origin_region,destination_region,volume_mt,transport_cost_usd_per_mt,is_cross_region
2037,US,US,8.41298312,0.0,False
2038,APAC,APAC,8.23886412,0.0,False
2038,EU,EU,12.4194001,0.0,False
2038,LATAM,EU,0.00099997,50.0,True
2038,LATAM,LATAM,1.63721778,0.0,False
2038,MENA,EU,0.00099993,35.0,True
2038,MENA,MENA,2.05507102,0.0,False
2038,ROW,EU,0.00100031,55.0,True
2038,ROW,ROW,1.37008029,0.0,False
2038,US,EU,0.00099969,45.0,True
2038,US,US,9.73692926,0.0,False
2039,APAC,APAC,9.50810969,0.0,False
2039,EU,EU,14.09470071,0.0,False
2039,LATAM,EU,0.00099979,50.0,True
2039,LATAM,LATAM,1.97974331,0.0,False
2039,MENA,EU,0.00100007,35.0,True
2039,MENA,MENA,2.47996633,0.0,False
2039,ROW,EU,0.00099986,55.0,True
2039,ROW,ROW,1.65327779,0.0,False
2039,US,EU,0.00099957,45.0,True
2039,US,US,11.23684788,0.0,False
2040,APAC,APAC,10.9516,0.0,False
2040,EU,EU,15.99599905,0.0,False
2040,LATAM,EU,0.00100055,50.0,True
2040,LATAM,LATAM,2.38944,0.0,False
2040,MENA,EU,0.00100015,35.0,True
2040,MENA,MENA,2.9868,0.0,False
2040,ROW,EU,0.00100025,55.0,True
2040,ROW,ROW,1.9912,0.0,False
2040,US,EU,0.001,45.0,True
2040,US,US,12.9428,0.0,False
2041,APAC,APAC,11.89818408,0.0,False
2041,EU,EU,17.20050036,0.0,False
2041,LATAM,EU,0.00100032,50.0,True
2041,LATAM,LATAM,2.65128868,0.0,False
2041,MENA,EU,0.00099937,35.0,True
2041,MENA,MENA,3.31406098,0.0,False
2041,ROW,EU,0.00099979,55.0,True
2041,ROW,ROW,2.23108406,0.0,False
2041,US,EU,0.00100016,45.0,True
2041,US,US,13.98863474,0.0,False
2042,APAC,APAC,12.91620096,0.0,False
2042,EU,EU,18.49559975,0.0,False
2042,LATAM,EU,0.00100026,50.0,True
2042,LATAM,LATAM,2.93938944,0.0,False
2042,MENA,EU,0.00100031,35.0,True
2042,MENA,MENA,3.67421184,0.0,False
2042,ROW,EU,0.00099973,55.0,True
2042,ROW,ROW,2.49779712,0.0,False
2042,US,EU,0.00099995,45.0,True
2042,US,US,15.1067904,0.0,False
2043,APAC,APAC,14.0156703,0.0,False
2043,EU,EU,19.8882995,0.0,False
2043,LATAM,EU,0.0010004,50.0,True
2043,LATAM,LATAM,3.2575392,0.0,False
2043,MENA,EU,0.0010006,35.0,True
2043,MENA,MENA,4.071924,0.0,False
2043,ROW,EU,0.00099965,55.0,True
2043,ROW,ROW,2.795202,0.0,False
2043,US,EU,0.00099985,45.0,True
2043,US,US,16.3077759,0.0,False
2044,APAC,APAC,15.20567112,0.0,False
2044,EU,EU,21.38579859,0.0,False
2044,LATAM,EU,0.00100025,50.0,True
2044,LATAM,LATAM,3.6093331,0.0,False
2044,MENA,EU,0.00100029,35.0,True
2044,MENA,MENA,4.51169136,0.0,False
2044,ROW,EU,0.00100039,55.0,True
2044,ROW,ROW,3.12752236,0.0,False
2044,US,EU,0.00100048,45.0,True
2044,US,US,17.60073322,0.0,False
2045,APAC,APAC,16.4934,0.0,False
2045,EU,EU,22.99600075,0.0,False
2045,LATAM,EU,0.0009996,50.0,True
2045,LATAM,LATAM,3.9984,0.0,False
2045,MENA,EU,0.00100045,35.0,True
2045,MENA,MENA,4.998,0.0,False
2045,ROW,EU,0.0009996,55.0,True
2045,ROW,ROW,3.4986,0.0,False
2045,US,EU,0.0009996,45.0,True
2045,US,US,18.9924,0.0,False
