plant_id,region,pathway,capacity_mt_yr,online_year,capex_usd_per_mt,opex_usd_per_mt,feedstock_intensity_str
APAC_HEFA_12,APAC,HEFA,0.1,2025,3250,975,UCO:1.25
APAC_HEFA_13,APAC,HEFA,0.2,2025,3250,975,UCO:1.25
APAC_HEFA_14,APAC,HEFA,0.2,2025,3250,975,UCO:1.25
APAC_HEFA_15,APAC,HEFA,0.2,2025,3250,975,UCO:1.25
APAC_HEFA_16,APAC,HEFA,0.315,2025,3250,975,UCO:1.25
APAC_HEFA_17,APAC,HEFA,0.01824,2025,3250,975,UCO:1.25
APAC_HEFA_18,APAC,HEFA,0.21,2025,3250,975,UCO:1.25
APAC_HEFA_19,APAC,HEFA,0.25,2025,3250,975,UCO:1.25
APAC_HEFA_20,APAC,HEFA,0.0228,2025,3250,975,UCO:1.25
APAC_HEFA_21,APAC,HEFA,0.105885,2026,3250,975,UCO:1.25
APAC_HEFA_22,APAC,HEFA,0.063,2026,3250,975,UCO:1.25
APAC_HEFA_23,APAC,HEFA,0.3,2026,3250,975,UCO:1.25
APAC_HEFA_24,APAC,HEFA,0.4,2026,3250,975,UCO:1.25
APAC_HEFA_25,APAC,HEFA,0.5,2026,3250,975,UCO:1.25
APAC_HEFA_26,APAC,HEFA,0.27,2026,3250,975,UCO:1.25
APAC_HEFA_27,APAC,HEFA,0.39,2026,3250,975,UCO:1.25
APAC_HEFA_28,APAC,HEFA,0.452635,2026,3250,975,UCO:1.25
APAC_HEFA_29,APAC,HEFA,0.0868,2026,3250,975,UCO:1.25
APAC_HEFA_30,APAC,HEFA,0.304,2027,3250,975,UCO:1.25
APAC_HEFA_31,APAC,HEFA,0.32,2027,3250,975,UCO:1.25
APAC_HEFA_32,APAC,HEFA,0.25,2027,3250,975,UCO:1.25
APAC_HEFA_33,APAC,HEFA,0.4525,2027,3250,975,UCO:1.25
APAC_HEFA_34,APAC,HEFA,0.06,2027,3250,975,UCO:1.25
APAC_HEFA_35,APAC,HEFA,0.5,2028,3250,975,UCO:1.25
APAC_HEFA_36,APAC,HEFA,0.1,2028,3250,975,UCO:1.25
APAC_HEFA_37,APAC,HEFA,0.365795,2028,3250,975,UCO:1.25
APAC_HEFA_38,APAC,HEFA,0.5,2028,3250,975,UCO:1.25
APAC_HEFA_39,APAC,HEFA,0.3,2030,3250,975,UCO:1.25
APAC_HEFA_40,APAC,HEFA,0.304,2030,3250,975,UCO:1.25
EU_ATJ_01,EU,ATJ,0.076,2026,4500,1200,agricultural_residue:4.55
EU_ATJ_02,EU,ATJ,0.06,2027,4500,1200,agricultural_residue:4.55
EU_ATJ_03,EU,ATJ,0.08,2028,4500,1200,agricultural_residue:4.55
EU_ATJ_04,EU,ATJ,0.076,2028,4500,1200,agricultural_residue:4.55
EU_ATJ_05,EU,ATJ,0.0761,2030,4500,1200,agricultural_residue:4.55
EU_COPS_01,EU,Co-processing,0.0025,2015,1375,650,UCO:2.22
EU_COPS_02,EU,Co-processing,0.006818,2018,1375,650,UCO:2.22
EU_COPS_03,EU,Co-processing,0.06,2019,1375,650,UCO:2.22
EU_COPS_04,EU,Co-processing,0.0339,2019,1375,650,UCO:2.22
EU_COPS_05,EU,Co-processing,0.05,2020,1375,650,UCO:2.22
EU_COPS_06,EU,Co-processing,0.059,2021,1375,650,UCO:2.22
EU_COPS_07,EU,Co-processing,0.13,2021,1375,650,UCO:2.22
EU_COPS_08,EU,Co-processing,0.002,2022,1375,650,UCO:2.22
EU_COPS_09,EU,Co-processing,0.01,2022,1375,650,UCO:2.22
EU_COPS_10,EU,Co-processing,0.004,2022,1375,650,UCO:2.22
EU_COPS_11,EU,Co-processing,0.0025,2023,1375,650,UCO:2.22
EU_COPS_12,EU,Co-processing,0.003867,2024,1375,650,UCO:2.22
EU_COPS_13,EU,Co-processing,0.025,2025,1375,650,UCO:2.22
EU_COPS_14,EU,Co-processing,0.05,2025,1375,650,UCO:2.22
EU_COPS_15,EU,Co-processing,0.3,2025,1375,650,UCO:2.22
EU_COPS_16,EU,Co-processing,0.1,2028,1375,650,UCO:2.22
EU_HEFA_01,EU,HEFA,0.1,2010,3000,900,UCO:1.25
EU_HEFA_02,EU,HEFA,0.45,2011,3000,900,UCO:1.25
EU_HEFA_03,EU,HEFA,0.15,2018,3000,900,UCO:1.25
EU_HEFA_04,EU,HEFA,0.1,2019,3000,900,UCO:1.25
EU_HEFA_05,EU,HEFA,0.2,2020,3000,900,UCO:1.25
EU_HEFA_06,EU,HEFA,0.05,2024,3000,900,UCO:1.25
EU_HEFA_07,EU,HEFA,0.08,2024,3000,900,UCO:1.25
EU_HEFA_08,EU,HEFA,0.1,2025,3000,900,UCO:1.25
EU_HEFA_09,EU,HEFA,0.24,2025,3000,900,UCO:1.25
EU_HEFA_10,EU,HEFA,0.06,2025,3000,900,UCO:1.25
EU_HEFA_11,EU,HEFA,0.45,2025,3000,900,UCO:1.25
EU_HEFA_12,EU,HEFA,0.21,2026,3000,900,UCO:1.25
EU_HEFA_13,EU,HEFA,0.25,2026,3000,900,UCO:1.25
EU_HEFA_14,EU,HEFA,0.134,2026,3000,900,UCO:1.25
EU_HEFA_15,EU,HEFA,0.11,2027,3000,900,UCO:1.25
EU_HEFA_16,EU,HEFA,0.087,2027,3000,900,UCO:1.25
EU_HEFA_17,EU,HEFA,0.78,2027,3000,900,UCO:1.25
EU_HEFA_18,EU,HEFA,0.475,2027,3000,900,UCO:1.25
EU_HEFA_19,EU,HEFA,0.1,2027,3000,900,UCO:1.25
EU_HEFA_20,EU,HEFA,0.75,2027,3000,900,UCO:1.25
EU_HEFA_21,EU,HEFA,0.29,2028,3000,900,UCO:1.25
EU_HEFA_22,EU,HEFA,0.3,2028,3000,900,UCO:1.25
EU_HEFA_23,EU,HEFA,0.125,2028,3000,900,UCO:1.25
EU_HEFA_24,EU,HEFA,0.82,2028,3000,900,UCO:1.25
EU_HEFA_25,EU,HEFA,0.25,2028,3000,900,UCO:1.25
EU_HEFA_26,EU,HEFA,0.1225,2028,3000,900,UCO:1.25
EU_PTL_01,EU,PtL,0.000365,2021,8000,1800,CO2_green_H2:3.57
EU_PTL_02,EU,PtL,0.001,2024,8000,1800,CO2_green_H2:3.57
EU_PTL_03,EU,PtL,0.0025,2025,8000,1800,CO2_green_H2:3.57
EU_PTL_04,EU,PtL,0.035,2027,8000,1800,CO2_green_H2:3.57
LATAM_COPS_01,LATAM,Co-processing,0.271581,2028,1375,650,UCO:2.22
LATAM_HEFA_01,LATAM,HEFA,0.4,2025,3200,950,UCO:1.25
LATAM_HEFA_02,LATAM,HEFA,0.2128,2026,3200,950,UCO:1.25
LATAM_HEFA_03,LATAM,HEFA,0.18,2026,3200,950,UCO:1.25
LATAM_HEFA_04,LATAM,HEFA,0.1,2026,3200,950,UCO:1.25
LATAM_HEFA_05,LATAM,HEFA,0.144,2027,3200,950,UCO:1.25
LATAM_HEFA_06,LATAM,HEFA,0.441,2028,3200,950,UCO:1.25
LATAM_HEFA_07,LATAM,HEFA,0.353,2028,3200,950,UCO:1.25
LATAM_HEFA_08,LATAM,HEFA,0.295264,2028,3200,950,UCO:1.25
MENA_COPS_01,MENA,Co-processing,0.025,2023,1375,650,UCO:2.22
MENA_HEFA_01,MENA,HEFA,0.3,2026,2800,850,UCO:1.25
MENA_HEFA_02,MENA,HEFA,0.11515,2026,2800,850,UCO:1.25
MENA_HEFA_03,MENA,HEFA,0.1,2027,2800,850,UCO:1.25
ROW_HEFA_01,ROW,HEFA,0.147106,2023,3200,950,UCO:1.25
ROW_HEFA_02,ROW,HEFA,0.135791,2025,3200,950,UCO:1.25
ROW_HEFA_03,ROW,HEFA,0.028769,2025,3200,950,UCO:1.25
ROW_HEFA_04,ROW,HEFA,0.028769,2025,3200,950,UCO:1.25
ROW_HEFA_05,ROW,HEFA,0.135791,2025,3200,950,UCO:1.25
ROW_HEFA_06,ROW,HEFA,0.195,2026,3200,950,UCO:1.25
US_ATJ_01,US,ATJ,0.029,2023,4150,1125,agricultural_residue:4.55
US_ATJ_02,US,ATJ,0.029,2024,4150,1125,agricultural_residue:4.55
US_ATJ_03,US,ATJ,0.716389,2025,4150,1125,agricultural_residue:4.55
US_ATJ_04,US,ATJ,0.187245,2026,4150,1125,agricultural_residue:4.55
US_ATJ_05,US,ATJ,0.03,2027,4150,1125,agricultural_residue:4.55
US_COPS_01,US,Co-processing,0.2265,2021,1375,650,UCO:2.22
US_COPS_02,US,Co-processing,0.176412,2025,1375,650,UCO:2.22
US_FT_01,US,FT-MSW,0.006367,2024,6000,1400,MSW:6.67
US_HEFA_01,US,HEFA,0.109323,2014,2750,825,UCO:1.25
US_HEFA_02,US,HEFA,0.144,2018,2750,825,UCO:1.25
US_HEFA_03,US,HEFA,0.488847,2023,2750,825,UCO:1.25
US_HEFA_04,US,HEFA,0.6642,2024,2750,825,UCO:1.25
US_HEFA_05,US,HEFA,0.905272,2024,2750,825,UCO:1.25
US_HEFA_06,US,HEFA,0.719228,2025,2750,825,UCO:1.25
US_HEFA_07,US,HEFA,0.066434,2025,2750,825,UCO:1.25
US_HEFA_08,US,HEFA,0.016248,2025,2750,825,UCO:1.25
US_HEFA_09,US,HEFA,0.071,2026,2750,825,UCO:1.25
US_HEFA_10,US,HEFA,0.265458,2026,2750,825,UCO:1.25
US_HEFA_11,US,HEFA,0.728691,2026,2750,825,UCO:1.25
US_HEFA_12,US,HEFA,0.066155,2026,2750,825,UCO:1.25
US_HEFA_13,US,HEFA,0.576,2027,2750,825,UCO:1.25
US_HEFA_14,US,HEFA,0.389,2027,2750,825,UCO:1.25
US_HEFA_15,US,HEFA,0.044289,2028,2750,825,UCO:1.25
US_HEFA_16,US,HEFA,1.13159,2028,2750,825,UCO:1.25
US_PTL_01,US,PtL,1e-06,2022,8000,1800,CO2_green_H2:3.57
US_PTL_02,US,PtL,0.048902,2024,8000,1800,CO2_green_H2:3.57
US_PTL_03,US,PtL,1.4e-05,2024,8000,1800,CO2_green_H2:3.57
