route_id,airline_id,operator_name,segment,origin_airport,origin_country,origin_region,dest_airport,dest_country,dest_region,flight_type,aircraft_type,annual_flights_2025,distance_km,annual_growth_rate,saf_pct_2025,saf_pct_2030,saf_pct_2035,saf_pct_2040,saf_pct_2045,saf_pct_2050
R019,AA,American Airlines,Passenger,DFW,USA,US,LHR,UK,EU,international,B777-300ER,730,7640.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R020,AA,American Airlines,Passenger,JFK,USA,US,CDG,France,EU,international,B787-9,730,5850.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R021,DL,Delta Air Lines,Passenger,ATL,USA,US,CDG,France,EU,international,A350-900,365,7830.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R022,DL,Delta Air Lines,Passenger,JFK,USA,US,NRT,Japan,APAC,international,B787-9,730,10800.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R023,UA,United Airlines,Passenger,EWR,USA,US,DXB,UAE,MENA,international,B777-300ER,365,11560.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R024,AA,American Airlines,Passenger,DFW,USA,US,LAX,USA,US,domestic,B737-800,9125,1240.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R025,WN,Southwest Airlines,Passenger,DAL,USA,US,ATL,USA,US,domestic,B737MAX8,12000,1160.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R026,UA,United Airlines,Passenger,ORD,USA,US,EWR,USA,US,domestic,B737-800,8000,1190.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R027,SQ,Singapore Airlines,Passenger,SIN,Singapore,APAC,LHR,UK,EU,international,A350-900,730,10840.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R028,SQ,Singapore Airlines,Passenger,SIN,Singapore,APAC,JFK,USA,US,international,A350-900,365,15340.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R029,NH,ANA,Passenger,NRT,Japan,APAC,LAX,USA,US,international,B777-300ER,1095,9570.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R030,NH,ANA,Passenger,NRT,Japan,APAC,LHR,UK,EU,international,B787-9,730,9570.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R031,CX,Cathay Pacific,Passenger,HKG,Hong Kong,APAC,LHR,UK,EU,international,A350-900,1095,9660.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R032,CA,Air China,Passenger,PEK,China,APAC,LHR,UK,EU,international,B777-300ER,730,8150.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R033,QF,Qantas,Passenger,SYD,Australia,APAC,LHR,UK,EU,international,B787-9,365,16990.0,0.04,0.0,0.05,0.1,0.2,0.3,0.4
R034,SQ,Singapore Airlines,Passenger,SIN,Singapore,APAC,DXB,UAE,MENA,international,A350-900,1095,6350.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R035,NH,ANA,Passenger,NRT,Japan,APAC,HND,Japan,APAC,domestic,A320neo,18250,290.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R036,CA,Air China,Passenger,PEK,China,APAC,SHA,China,APAC,domestic,B737-800,25000,1080.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R037,EK,Emirates,Passenger,DXB,UAE,MENA,LHR,UK,EU,international,A380-800,2190,5490.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R038,EK,Emirates,Passenger,DXB,UAE,MENA,JFK,USA,US,international,A380-800,1460,11060.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R039,EK,Emirates,Passenger,DXB,UAE,MENA,SYD,Australia,APAC,international,A380-800,1095,12050.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R040,QR,Qatar Airways,Passenger,DOH,Qatar,MENA,LHR,UK,EU,international,A350-900,1825,5720.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R041,QR,Qatar Airways,Passenger,DOH,Qatar,MENA,JFK,USA,US,international,B777-300ER,730,11825.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R042,SV,Saudia,Passenger,RUH,Saudi Arabia,MENA,LHR,UK,EU,international,B787-9,730,6760.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R043,SV,Saudia,Passenger,JED,Saudi Arabia,MENA,JFK,USA,US,international,B787-9,365,11430.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R044,EK,Emirates,Passenger,DXB,UAE,MENA,AUH,UAE,MENA,domestic,B737-800,3650,130.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R045,LA,LATAM Airlines,Passenger,GRU,Brazil,LATAM,JFK,USA,US,international,B787-9,730,7710.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R046,LA,LATAM Airlines,Passenger,GRU,Brazil,LATAM,MAD,Spain,EU,international,B787-9,730,9280.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R047,LA,LATAM Airlines,Passenger,SCL,Chile,LATAM,LAX,USA,US,international,B787-9,365,8870.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R048,AV,Avianca,Passenger,BOG,Colombia,LATAM,MAD,Spain,EU,international,B787-9,365,8810.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R049,LA,LATAM Airlines,Passenger,GRU,Brazil,LATAM,EZE,Argentina,LATAM,domestic,A320neo,1825,2430.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R050,LA,LATAM Airlines,Passenger,GRU,Brazil,LATAM,SCL,Chile,LATAM,domestic,A320neo,1095,2640.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R051,ET,Ethiopian Airlines,Passenger,ADD,Ethiopia,ROW,LHR,UK,EU,international,B787-9,730,6130.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R052,ET,Ethiopian Airlines,Passenger,ADD,Ethiopia,ROW,JFK,USA,US,international,B787-9,365,12350.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R053,ET,Ethiopian Airlines,Passenger,ADD,Ethiopia,ROW,PEK,China,APAC,international,B787-9,365,6740.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R054,TK,Turkish Airlines,Passenger,IST,Turkey,ROW,JFK,USA,US,international,B777-300ER,730,9400.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R055,TK,Turkish Airlines,Passenger,IST,Turkey,ROW,LHR,UK,EU,international,B787-9,1460,2860.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R056,TK,Turkish Airlines,Passenger,IST,Turkey,ROW,DXB,UAE,MENA,international,B737-800,1825,3400.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R058,TK,Turkish Airlines,Passenger,IST,Turkey,ROW,ANK,Turkey,ROW,domestic,B737-800,7300,380.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R059,ET,Ethiopian Airlines,Passenger,ADD,Ethiopia,ROW,JRE,Ethiopia,ROW,domestic,B737-800,1095,1270.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R060,AF,Air France,Passenger,CDG,France,EU,SIN,Singapore,APAC,international,B787-9,365,10750.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R061,UA,United Airlines,Passenger,EWR,USA,US,DOH,Qatar,MENA,international,B787-9,365,11490.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R062,DL,Delta Air Lines,Passenger,ATL,USA,US,GRU,Brazil,LATAM,international,B787-9,365,9650.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R063,EK,Emirates,Passenger,DXB,UAE,MENA,NRT,Japan,APAC,international,A380-800,730,7040.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R064,LA,LATAM Airlines,Passenger,GRU,Brazil,LATAM,LHR,UK,EU,international,B787-9,365,10650.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R065,FX,FedEx Express,Cargo,MEM,USA,US,CDG,France,EU,international,B777F,365,7480.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R066,FX,FedEx Express,Cargo,MEM,USA,US,NRT,Japan,APAC,international,B777F,365,11200.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R067,FX,FedEx Express,Cargo,MEM,USA,US,SIN,Singapore,APAC,international,B777F,182,14420.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R068,FX,FedEx Express,Cargo,MEM,USA,US,GRU,Brazil,LATAM,international,B777F,365,9700.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R069,FX,FedEx Express,Cargo,MEM,USA,US,DXB,UAE,MENA,international,B777F,365,12030.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R070,FX,FedEx Express,Cargo,ANC,USA,US,NRT,Japan,APAC,international,B747-8F,730,5650.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R071,FX,FedEx Express,Cargo,IND,USA,US,CGN,Germany,EU,international,B777F,365,7580.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R072,5X,UPS Airlines,Cargo,SDF,USA,US,CGN,Germany,EU,international,B747-8F,365,7390.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R073,5X,UPS Airlines,Cargo,SDF,USA,US,HKG,Hong Kong,APAC,international,B747-8F,365,14200.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R074,5X,UPS Airlines,Cargo,SDF,USA,US,NRT,Japan,APAC,international,B747-8F,365,11100.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R075,5X,UPS Airlines,Cargo,SDF,USA,US,SIN,Singapore,APAC,international,B747-8F,182,16200.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R076,D0,DHL Aviation,Cargo,CVG,USA,US,CGN,Germany,EU,international,B777F,365,7220.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R077,D0,DHL Aviation,Cargo,CGN,Germany,EU,PVG,China,APAC,international,B777F,365,9060.0,0.025,0.0,0.01,0.05,0.1,0.2,0.3
R078,D0,DHL Aviation,Cargo,CGN,Germany,EU,HKG,Hong Kong,APAC,international,B777F,365,9600.0,0.025,0.0,0.01,0.05,0.1,0.2,0.3
R079,D0,DHL Aviation,Cargo,CGN,Germany,EU,DXB,UAE,MENA,international,B757F,730,4750.0,0.025,0.0,0.01,0.05,0.1,0.2,0.3
R080,D0,DHL Aviation,Cargo,CGN,Germany,EU,SIN,Singapore,APAC,international,B777F,365,10700.0,0.025,0.0,0.01,0.05,0.1,0.2,0.3
R081,5Y,Atlas Air,Cargo,JFK,USA,US,HKG,Hong Kong,APAC,international,B747-8F,365,13000.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R082,5Y,Atlas Air,Cargo,ORD,USA,US,NRT,Japan,APAC,international,B747-8F,365,10600.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R083,CV,Cargolux,Cargo,LUX,Luxembourg,EU,ORD,USA,US,international,B747-8F,365,7300.0,0.025,0.0,0.01,0.05,0.1,0.2,0.3
R084,CV,Cargolux,Cargo,LUX,Luxembourg,EU,HKG,Hong Kong,APAC,international,B747-8F,730,9400.0,0.025,0.0,0.01,0.05,0.1,0.2,0.3
R085,CV,Cargolux,Cargo,LUX,Luxembourg,EU,NRT,Japan,APAC,international,B747-8F,365,9500.0,0.025,0.0,0.01,0.05,0.1,0.2,0.3
R086,KE,Korean Air,Cargo,ICN,South Korea,APAC,LAX,USA,US,international,B747-8F,730,9700.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R087,CXC,Cathay Pacific Cargo,Cargo,HKG,Hong Kong,APAC,LHR,UK,EU,international,B747-8F,730,9660.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R088,EKC,Emirates SkyCargo,Cargo,DXB,UAE,MENA,HKG,Hong Kong,APAC,international,B777F,730,6340.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R089,EKC,Emirates SkyCargo,Cargo,DXB,UAE,MENA,JFK,USA,US,international,B777F,730,11060.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R090,TKC,Turkish Cargo,Cargo,IST,Turkey,ROW,PVG,China,APAC,international,B777F,365,7500.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R091,K9,Amazon Air,Cargo,CVG,USA,US,LAX,USA,US,domestic,B767F,730,3514.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R092,K9,Amazon Air,Cargo,CVG,USA,US,JFK,USA,US,domestic,B767F,730,1481.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R093,K9,Amazon Air,Cargo,CVG,USA,US,SEA,USA,US,domestic,B767F,365,2960.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R094,K4,Kalitta Air,Cargo,YIP,USA,US,ICN,South Korea,APAC,international,B747-8F,365,10700.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R095,K4,Kalitta Air,Cargo,YIP,USA,US,NRT,Japan,APAC,international,B747-8F,365,10500.0,0.02,0.0,0.01,0.05,0.1,0.2,0.3
R096,ABR,ASL Aviation Holdings,Cargo,DUB,Ireland,EU,CDG,France,EU,international,B737-800,730,780.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R097,ABR,ASL Aviation Holdings,Cargo,DUB,Ireland,EU,CGN,Germany,EU,international,B737-800,730,1000.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R098,ABR,ASL Aviation Holdings,Cargo,DUB,Ireland,EU,LHR,UK,EU,international,B757F,1095,440.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R099,LHC,Lufthansa Cargo,Cargo,FRA,Germany,EU,PVG,China,APAC,international,B777F,365,9200.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R100,LHC,Lufthansa Cargo,Cargo,FRA,Germany,EU,NRT,Japan,APAC,international,B777F,365,9350.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R101,LHC,Lufthansa Cargo,Cargo,FRA,Germany,EU,JFK,USA,US,international,B777F,730,6200.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R102,QRC,Qatar Airways Cargo,Cargo,DOH,Qatar,MENA,FRA,Germany,EU,international,B777F,730,4850.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R103,QRC,Qatar Airways Cargo,Cargo,DOH,Qatar,MENA,PVG,China,APAC,international,B777F,365,6300.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R104,QRC,Qatar Airways Cargo,Cargo,DOH,Qatar,MENA,JFK,USA,US,international,B777F,365,11000.0,0.045,0.0,0.01,0.05,0.1,0.2,0.3
R105,NHC,ANA Cargo,Cargo,NRT,Japan,APAC,LAX,USA,US,international,B767F,365,8730.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R106,NHC,ANA Cargo,Cargo,NRT,Japan,APAC,FRA,Germany,EU,international,B767F,365,9350.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R107,SQC,SIA Cargo,Cargo,SIN,Singapore,APAC,FRA,Germany,EU,international,B777F,365,10800.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R108,SQC,SIA Cargo,Cargo,SIN,Singapore,APAC,LAX,USA,US,international,B777F,365,14100.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R109,AVC,Avianca Cargo,Cargo,BOG,Colombia,LATAM,MIA,USA,US,international,B767F,730,2720.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R110,AVC,Avianca Cargo,Cargo,BOG,Colombia,LATAM,MAD,Spain,EU,international,B767F,365,8810.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R111,LAC,LATAM Cargo,Cargo,GRU,Brazil,LATAM,MIA,USA,US,international,B767F,730,7690.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R112,LAC,LATAM Cargo,Cargo,GRU,Brazil,LATAM,MAD,Spain,EU,international,B767F,365,9250.0,0.035,0.0,0.01,0.05,0.1,0.2,0.3
R113,ETC,Ethiopian Cargo,Cargo,ADD,Ethiopia,ROW,CDG,France,EU,international,B777F,365,5750.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R114,ETC,Ethiopian Cargo,Cargo,ADD,Ethiopia,ROW,PEK,China,APAC,international,B777F,365,7900.0,0.03,0.0,0.01,0.05,0.1,0.2,0.3
R115,KZ,Nippon Cargo Airlines,Cargo,NRT,Japan,APAC,ORD,USA,US,international,B747-8F,365,10100.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R116,KZ,Nippon Cargo Airlines,Cargo,NRT,Japan,APAC,FRA,Germany,EU,international,B747-8F,365,9350.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R117,KZ,Nippon Cargo Airlines,Cargo,NRT,Japan,APAC,JFK,USA,US,international,B747-8F,365,10800.0,0.04,0.0,0.1,0.15,0.3,0.4,0.5
R118,D7,AirAsia X,Passenger,KUL,Malaysia,APAC,NRT,Japan,APAC,international,A330-300,730,5440.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R119,D7,AirAsia X,Passenger,KUL,Malaysia,APAC,SYD,Australia,APAC,international,A330-300,1095,6600.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R120,D7,AirAsia X,Passenger,KUL,Malaysia,APAC,CDG,France,EU,international,A330-300,365,10700.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R121,AK,AirAsia,Passenger,KUL,Malaysia,APAC,SIN,Singapore,APAC,international,A320neo,5475,297.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R122,AK,AirAsia,Passenger,KUL,Malaysia,APAC,BKK,Thailand,APAC,international,A320neo,2190,1200.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R123,AK,AirAsia,Passenger,KUL,Malaysia,APAC,CGK,Indonesia,APAC,international,A320neo,2920,1260.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R124,MH,Malaysia Airlines,Passenger,KUL,Malaysia,APAC,LHR,UK,EU,international,A380-800,730,10580.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R125,MH,Malaysia Airlines,Passenger,KUL,Malaysia,APAC,NRT,Japan,APAC,international,B787-9,1095,5440.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R126,MH,Malaysia Airlines,Passenger,KUL,Malaysia,APAC,CDG,France,EU,international,A380-800,365,10700.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R127,GA,Garuda Indonesia,Passenger,CGK,Indonesia,APAC,NRT,Japan,APAC,international,B777-300ER,730,5800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R128,GA,Garuda Indonesia,Passenger,CGK,Indonesia,APAC,SYD,Australia,APAC,international,B777-300ER,1095,5600.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R129,GA,Garuda Indonesia,Passenger,CGK,Indonesia,APAC,LHR,UK,EU,international,B777-300ER,365,11800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R130,OD,Batik Air Malaysia,Passenger,KUL,Malaysia,APAC,CGK,Indonesia,APAC,international,B737-800,2920,1260.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R131,OD,Batik Air Malaysia,Passenger,KUL,Malaysia,APAC,SIN,Singapore,APAC,international,B737-800,3650,297.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R132,OD,Batik Air Malaysia,Passenger,KUL,Malaysia,APAC,DEL,India,APAC,international,B737-800,730,5900.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R133,TR,Scoot,Passenger,SIN,Singapore,APAC,NRT,Japan,APAC,international,B787-9,730,5350.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R134,TR,Scoot,Passenger,SIN,Singapore,APAC,SYD,Australia,APAC,international,B787-9,730,6300.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R135,TR,Scoot,Passenger,SIN,Singapore,APAC,DEL,India,APAC,international,A320neo,1095,5600.0,0.04,0.0,0.03,0.1,0.2,0.3,0.4
R136,TG,Thai Airways,Passenger,BKK,Thailand,APAC,LHR,UK,EU,international,A380-800,730,9500.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R137,TG,Thai Airways,Passenger,BKK,Thailand,APAC,NRT,Japan,APAC,international,B777-300ER,1460,4600.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R138,TG,Thai Airways,Passenger,BKK,Thailand,APAC,FRA,Germany,EU,international,A350-900,730,9300.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R139,VN,Vietnam Airlines,Passenger,HAN,Vietnam,APAC,CDG,France,EU,international,B787-9,365,9100.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R140,VN,Vietnam Airlines,Passenger,HAN,Vietnam,APAC,NRT,Japan,APAC,international,A350-900,730,3800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R141,VN,Vietnam Airlines,Passenger,HAN,Vietnam,APAC,SYD,Australia,APAC,international,B787-9,365,8300.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R142,VJ,VietJet Air,Passenger,SGN,Vietnam,APAC,NRT,Japan,APAC,international,A321neo,730,4300.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R143,VJ,VietJet Air,Passenger,SGN,Vietnam,APAC,ICN,South Korea,APAC,international,A321neo,730,4200.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R144,VJ,VietJet Air,Passenger,SGN,Vietnam,APAC,SIN,Singapore,APAC,international,A321neo,2190,1150.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R145,PR,Philippine Airlines,Passenger,MNL,Philippines,APAC,NRT,Japan,APAC,international,A350-900,1460,3000.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R146,PR,Philippine Airlines,Passenger,MNL,Philippines,APAC,LAX,USA,US,international,B777-300ER,365,11600.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R147,PR,Philippine Airlines,Passenger,MNL,Philippines,APAC,LHR,UK,EU,international,B777-300ER,365,10800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R148,KE,Korean Air,Passenger,ICN,South Korea,APAC,JFK,USA,US,international,B747-8,1095,11100.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R149,KE,Korean Air,Passenger,ICN,South Korea,APAC,LHR,UK,EU,international,A380-800,730,8800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R150,KE,Korean Air,Passenger,ICN,South Korea,APAC,SYD,Australia,APAC,international,B787-9,730,8300.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R151,OZ,Asiana Airlines,Passenger,ICN,South Korea,APAC,LAX,USA,US,international,B777-300ER,730,9600.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R152,OZ,Asiana Airlines,Passenger,ICN,South Korea,APAC,FRA,Germany,EU,international,A380-800,365,8700.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R153,OZ,Asiana Airlines,Passenger,ICN,South Korea,APAC,LHR,UK,EU,international,B777-300ER,730,8800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R154,CI,China Airlines,Passenger,TPE,Taiwan,APAC,LAX,USA,US,international,B777-300ER,730,10800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R155,CI,China Airlines,Passenger,TPE,Taiwan,APAC,NRT,Japan,APAC,international,B737MAX8,2920,2140.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R156,CI,China Airlines,Passenger,TPE,Taiwan,APAC,FRA,Germany,EU,international,B777-300ER,365,9800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R157,BR,EVA Air,Passenger,TPE,Taiwan,APAC,JFK,USA,US,international,B777-300ER,365,12800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R158,BR,EVA Air,Passenger,TPE,Taiwan,APAC,LHR,UK,EU,international,B787-9,730,9800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R159,BR,EVA Air,Passenger,TPE,Taiwan,APAC,LAX,USA,US,international,B777-300ER,730,10800.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R160,MU,China Eastern,Passenger,PVG,China,APAC,LAX,USA,US,international,B777-300ER,730,10100.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R161,MU,China Eastern,Passenger,PVG,China,APAC,LHR,UK,EU,international,A350-900,730,9200.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R162,MU,China Eastern,Passenger,PVG,China,APAC,CDG,France,EU,international,A350-900,730,9200.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
R163,CZ,China Southern,Passenger,CAN,China,APAC,LAX,USA,US,international,A380-800,730,11700.0,0.04,0.0,0.01,0.05,0.1,0.2,0.3
