year,region,jet_fuel_price_usd_per_mt,corsia_credit_usd_per_tco2,case3_penalty_usd_per_mt,target_irr_pct,wtp_mode
2037,APAC,792,106.8,1540.0,12,max
2037,MENA,748,106.8,1144.0,12,max
2037,LATAM,836,106.8,920,18,max
2037,ROW,880,106.8,920,18,max
2038,EU,832,113.2,2912.0,12,max
2038,US,776,113.2,1864.0,12,max
2038,APAC,799,113.2,1560.0,12,max
2038,MENA,754,113.2,1156.0,12,max
2038,LATAM,843,113.2,930,18,max
2038,ROW,887,113.2,930,18,max
2039,EU,839,119.6,2936.0,12,max
2039,US,783,119.6,1892.0,12,max
2039,APAC,805,119.6,1580.0,12,max
2039,MENA,760,119.6,1168.0,12,max
2039,LATAM,850,119.6,940,18,max
2039,ROW,894,119.6,940,18,max
2040,EU,845,126.0,2960.0,12,max
2040,US,789,126.0,1920.0,12,max
2040,APAC,811,126.0,1600.0,12,max
2040,MENA,766,126.0,1180.0,12,max
2040,LATAM,856,126.0,950,18,max
2040,ROW,902,126.0,950,18,max
2041,EU,852,132.4,2984.0,12,max
2041,US,795,132.4,1948.0,12,max
2041,APAC,818,132.4,1620.0,12,max
2041,MENA,772,132.4,1192.0,12,max
2041,LATAM,863,132.4,960,18,max
2041,ROW,909,132.4,960,18,max
2042,EU,859,138.8,3008.0,12,max
2042,US,802,138.8,1976.0,12,max
2042,APAC,824,138.8,1640.0,12,max
2042,MENA,779,138.8,1204.0,12,max
2042,LATAM,870,138.8,970,18,max
2042,ROW,916,138.8,970,18,max
2043,EU,866,145.2,3032.0,12,max
2043,US,808,145.2,2004.0,12,max
2043,APAC,831,145.2,1660.0,12,max
2043,MENA,785,145.2,1216.0,12,max
2043,LATAM,877,145.2,980,18,max
2043,ROW,923,145.2,980,18,max
2044,EU,873,151.6,3056.0,12,max
2044,US,814,151.6,2032.0,12,max
2044,APAC,838,151.6,1680.0,12,max
2044,MENA,791,151.6,1228.0,12,max
2044,LATAM,884,151.6,990,18,max
2044,ROW,931,151.6,990,18,max
2045,EU,880,158.0,3080.0,12,max
2045,US,821,158.0,2060.0,12,max
2045,APAC,844,158.0,1700.0,12,max
2045,MENA,797,158.0,1240.0,12,max
2045,LATAM,891,158.0,1000,18,max
2045,ROW,938,158.0,1000,18,max
2046,EU,887,164.4,3104.0,12,max
2046,US,828,164.4,2088.0,12,max
2046,APAC,850,164.4,1720.0,12,max
2046,MENA,803,164.4,1252.0,12,max
2046,LATAM,898,164.4,1010,18,max
2046,ROW,945,164.4,1010,18,max
2047,EU,894,170.8,3128.0,12,max
2047,US,835,170.8,2116.0,12,max
2047,APAC,856,170.8,1740.0,12,max
2047,MENA,809,170.8,1264.0,12,max
2047,LATAM,905,170.8,1020,18,max
2047,ROW,952,170.8,1020,18,max
2048,EU,901,177.2,3152.0,12,max
2048,US,842,177.2,2144.0,12,max
2048,APAC,862,177.2,1760.0,12,max
2048,MENA,815,177.2,1276.0,12,max
2048,LATAM,912,177.2,1030,18,max
2048,ROW,959,177.2,1030,18,max
2049,EU,908,183.6,3176.0,12,max
2049,US,849,183.6,2172.0,12,max
2049,APAC,868,183.6,1780.0,12,max
2049,MENA,821,183.6,1288.0,12,max
2049,LATAM,919,183.6,1040,18,max
2049,ROW,966,183.6,1040,18,max
2050,EU,915,190.0,3200.0,12,max
2050,US,856,190.0,2200.0,12,max
2050,APAC,874,190.0,1800.0,12,max
2050,MENA,827,190.0,1300.0,12,max
2050,LATAM,926,190.0,1050,18,max
2050,ROW,973,190.0,1050,18,max
